record_id,submitted_at,status,region,processing_hours,assigned_office
SR-000020,2024-01-15T09:00:00,closed,South Verdalia,25.9,Office-West-04
SR-000678,2024-04-05T11:17:00,resolved,North Verdalia,7.9,Office-Capital-01
SR-000810,2024-04-02T06:53:00,closed,Western Highlands,35.6,Office-West-04
SR-000741,2024-04-19T20:33:00,submitted,Eastport,12.1,Office-East-03
SR-000788,2024-04-20T06:24:00,in_review,Capital District,13.1,Office-North-01
SR-000602,2024-04-23T16:56:00,closed,Capital District,3.9,Office-Capital-01
SR-000646,2024-04-01T00:49:00,submitted,Eastport,16.8,Office-South-02
SR-000606,2024-04-07T04:16:00,resolved,Capital District,6.8,Office-West-04
SR-000779,2024-04-15T23:54:00,resolved,Eastport,39.2,Office-Capital-01
SR-000807,2024-04-17T18:43:00,rejected,Western Highlands,24.3,Office-West-04
SR-000601,2024-04-13T08:22:00,in_review,North Verdalia,6.2,Office-East-03
SR-000618,2024-04-13T18:22:00,closed,Capital District,47.8,Office-North-01
SR-000811,2024-04-22T21:05:00,resolved,Eastport,11.7,Office-West-04
SR-000822,2024-04-15T01:49:00,resolved,Eastport,7.2,Office-Capital-01
SR-000769,2024-04-25T06:25:00,closed,North Verdalia,4.5,Office-South-02
SR-000658,2024-04-02T00:53:00,closed,Capital District,4.9,Office-East-03
SR-000809,2024-04-12T04:58:00,closed,North Verdalia,34.0,Office-South-02
SR-000666,2024-04-16T19:05:00,resolved,Eastport,15.0,Office-West-04
SR-000634,2024-04-02T04:50:00,in_review,North Verdalia,32.5,Office-North-01
SR-000813,2024-04-20T09:00:00,submitted,Eastport,53.2,Office-Capital-01
SR-000640,2024-04-09T23:41:00,submitted,Western Highlands,17.8,Office-Capital-01
SR-000793,2024-04-05T09:23:00,in_review,South Verdalia,42.7,Office-West-04
SR-000711,2024-04-13T12:59:00,resolved,Western Highlands,22.4,Office-Capital-01
SR-000689,2024-04-12T14:38:00,closed,South Verdalia,32.0,Office-Capital-01
SR-000817,2024-04-06T15:43:00,rejected,Western Highlands,18.8,Office-South-02
SR-000838,2024-04-14T22:43:00,closed,Capital District,18.7,Office-Capital-01
SR-000819,2024-04-03T20:42:00,closed,Western Highlands,10.4,Office-South-02
SR-000781,2024-04-18T04:04:00,closed,Western Highlands,26.5,Office-Capital-01
SR-000471,2024-01-15T09:00:00,closed,Capital District,16.9,Office-North-01
SR-000701,2024-04-25T08:49:00,submitted,Western Highlands,44.1,Office-North-01
SR-000798,2024-04-15T23:45:00,submitted,Western Highlands,3.4,Office-South-02
SR-000628,2024-04-02T02:08:00,submitted,Eastport,29.9,Office-West-04
SR-000729,2024-04-25T06:50:00,closed,North Verdalia,9.5,Office-South-02
SR-000613,2024-04-20T06:46:00,resolved,Eastport,8.4,Office-North-01
SR-000762,2024-04-03T00:56:00,closed,Capital District,51.0,Office-East-03
SR-000775,2024-04-22T16:01:00,closed,Capital District,20.5,Office-Capital-01
SR-000765,2024-04-04T13:32:00,in_review,Eastport,20.1,Office-North-01
SR-000704,2024-04-04T04:52:00,submitted,South Verdalia,28.6,Office-West-04
SR-000677,2024-04-18T13:56:00,closed,Eastport,7.3,Office-Capital-01
SR-000691,2024-04-09T04:57:00,submitted,Western Highlands,16.5,Office-West-04
SR-000776,2024-04-18T01:25:00,in_review,North Verdalia,13.3,Office-East-03
SR-000690,2024-04-12T01:31:00,resolved,North Verdalia,15.8,Office-North-01
SR-000805,2024-04-12T15:07:00,closed,North Verdalia,17.7,Office-West-04
SR-000335,2024-01-15T09:00:00,closed,Eastport,9.9,Office-South-02
SR-000754,2024-04-11T01:00:00,in_review,Capital District,25.4,Office-South-02
SR-000510,2024-01-15T09:00:00,closed,Western Highlands,5.7,Office-East-03
SR-000722,2024-04-24T10:06:00,submitted,North Verdalia,29.7,Office-West-04
SR-000707,2024-04-23T07:37:00,resolved,Western Highlands,28.1,Office-West-04
SR-000668,2024-04-25T18:25:00,submitted,North Verdalia,9.7,Office-North-01
SR-000815,2024-04-15T16:18:00,resolved,North Verdalia,11.8,Office-Capital-01
SR-000718,2024-04-06T11:20:00,in_review,North Verdalia,10.5,Office-South-02
SR-000645,2024-04-25T06:59:00,closed,Western Highlands,20.3,Office-South-02
SR-000764,2024-04-16T22:59:00,submitted,North Verdalia,5.9,Office-North-01
SR-000826,2024-04-19T03:22:00,in_review,North Verdalia,5.8,Office-Capital-01
SR-000717,2024-04-09T10:22:00,submitted,North Verdalia,42.0,Office-West-04
SR-000827,2024-04-12T07:52:00,closed,South Verdalia,12.8,Office-North-01
SR-000641,2024-04-22T03:21:00,submitted,Capital District,29.0,Office-Capital-01
SR-000669,2024-04-22T15:52:00,submitted,Capital District,25.0,Office-West-04
SR-000746,2024-04-24T04:32:00,in_review,Capital District,28.3,Office-West-04
SR-000787,2024-04-14T07:30:00,in_review,South Verdalia,17.0,Office-North-01
SR-000846,2024-04-06T04:14:00,rejected,North Verdalia,18.9,Office-East-03
SR-000671,2024-04-14T09:19:00,closed,Capital District,5.2,Office-South-02
SR-000702,2024-04-15T06:22:00,submitted,North Verdalia,22.6,Office-South-02
SR-000832,2024-04-02T18:32:00,resolved,Capital District,21.7,Office-Capital-01
SR-000653,2024-04-01T09:24:00,resolved,Western Highlands,34.1,Office-South-02
SR-000758,2024-04-09T03:54:00,in_review,South Verdalia,14.4,Office-East-03
SR-000651,2024-04-16T18:50:00,in_review,North Verdalia,11.3,Office-South-02
SR-000636,2024-04-03T05:40:00,resolved,Western Highlands,22.3,Office-North-01
SR-000760,2024-04-14T15:18:00,resolved,Capital District,41.2,Office-North-01
SR-000763,2024-04-08T17:31:00,resolved,Eastport,55.1,Office-Capital-01
SR-000611,2024-04-21T02:40:00,in_review,South Verdalia,37.4,Office-Capital-01
SR-000140,2024-01-15T09:00:00,closed,North Verdalia,10.9,Office-South-02
SR-000812,2024-04-10T17:24:00,closed,Capital District,21.4,Office-South-02
SR-000777,2024-04-18T07:47:00,resolved,North Verdalia,4.6,Office-North-01
SR-000778,2024-04-09T08:24:00,resolved,North Verdalia,26.5,Office-South-02
SR-000728,2024-04-04T20:41:00,resolved,Eastport,40.1,Office-Capital-01
SR-000814,2024-04-22T08:48:00,submitted,Eastport,8.8,Office-North-01
SR-000747,2024-04-14T19:16:00,in_review,Eastport,11.5,Office-South-02
SR-000731,2024-04-17T20:21:00,in_review,Eastport,30.1,Office-North-01
SR-000818,2024-04-08T05:38:00,resolved,South Verdalia,24.1,Office-East-03
SR-000661,2024-04-16T09:11:00,closed,South Verdalia,11.1,Office-East-03
SR-000002,2024-01-15T09:00:00,closed,Western Highlands,42.5,Office-North-01
SR-000750,2024-04-23T09:12:00,in_review,North Verdalia,31.3,Office-West-04
SR-000633,2024-04-20T19:32:00,resolved,Capital District,17.0,Office-Capital-01
SR-000698,2024-04-13T07:10:00,resolved,Capital District,8.6,Office-West-04
SR-000625,2024-04-13T20:36:00,closed,Capital District,8.2,Office-West-04
SR-000848,2024-04-15T05:23:00,closed,Western Highlands,6.2,Office-North-01
SR-000630,2024-04-19T13:36:00,submitted,Capital District,12.9,Office-North-01
SR-000650,2024-04-16T01:18:00,rejected,North Verdalia,15.2,Office-Capital-01
SR-000402,2024-01-15T09:00:00,closed,Eastport,39.3,Office-North-01
SR-000642,2024-04-07T16:50:00,resolved,South Verdalia,28.6,Office-West-04
SR-000609,2024-04-04T11:01:00,submitted,North Verdalia,10.8,Office-West-04
SR-000684,2024-04-05T16:38:00,closed,South Verdalia,8.9,Office-East-03
SR-000791,2024-04-04T13:51:00,resolved,Capital District,24.8,Office-North-01
SR-000675,2024-04-16T05:17:00,closed,South Verdalia,3.6,Office-North-01
SR-000745,2024-04-09T08:45:00,resolved,Capital District,25.9,Office-Capital-01
SR-000700,2024-04-07T04:39:00,in_review,Western Highlands,9.2,Office-Capital-01
SR-000820,2024-04-11T16:40:00,closed,Eastport,10.3,Office-North-01
SR-000834,2024-04-04T02:43:00,resolved,Western Highlands,7.2,Office-North-01
SR-000644,2024-04-22T05:14:00,resolved,Capital District,39.9,Office-East-03
SR-000725,2024-04-22T08:14:00,resolved,Capital District,4.9,Office-East-03
SR-000720,2024-04-11T06:08:00,in_review,Western Highlands,44.9,Office-Capital-01
SR-000833,2024-04-03T17:36:00,submitted,North Verdalia,9.3,Office-East-03
SR-000844,2024-04-05T23:36:00,submitted,Eastport,16.1,Office-West-04
SR-000705,2024-04-02T05:55:00,resolved,North Verdalia,4.1,Office-West-04
SR-000659,2024-04-24T13:23:00,in_review,North Verdalia,10.8,Office-East-03
SR-000772,2024-04-14T05:53:00,closed,Eastport,27.5,Office-North-01
SR-000111,2024-01-15T09:00:00,closed,North Verdalia,18.3,Office-East-03
SR-000799,2024-04-08T07:49:00,resolved,Eastport,5.9,Office-Capital-01
SR-000743,2024-04-22T05:52:00,closed,Western Highlands,15.8,Office-North-01
SR-000612,2024-04-03T18:20:00,resolved,Eastport,17.0,Office-West-04
SR-000676,2024-04-07T05:31:00,resolved,Eastport,24.8,Office-North-01
SR-000748,2024-04-16T02:45:00,closed,Capital District,8.7,Office-Capital-01
SR-000837,2024-04-05T09:58:00,resolved,Western Highlands,4.3,Office-West-04
SR-000555,2024-01-15T09:00:00,closed,Western Highlands,3.1,Office-North-01
SR-000757,2024-04-04T23:06:00,closed,Eastport,15.0,Office-Capital-01
SR-000607,2024-04-07T23:43:00,in_review,South Verdalia,9.6,Office-East-03
SR-000753,2024-04-04T04:48:00,closed,Eastport,18.9,Office-East-03
SR-000061,2024-01-15T09:00:00,closed,Capital District,42.5,Office-South-02
SR-000824,2024-04-06T12:55:00,in_review,Eastport,9.6,Office-West-04
SR-000796,2024-04-12T09:34:00,closed,North Verdalia,22.1,Office-West-04
SR-000719,2024-04-24T13:41:00,resolved,North Verdalia,10.1,Office-West-04
SR-000713,2024-04-13T05:30:00,closed,Eastport,27.3,Office-South-02
SR-000617,2024-04-06T14:51:00,in_review,Western Highlands,23.0,Office-South-02
SR-000808,2024-04-05T12:19:00,resolved,Eastport,4.6,Office-North-01
SR-000440,2024-01-15T09:00:00,closed,South Verdalia,32.5,Office-Capital-01
SR-000841,2024-04-15T02:37:00,in_review,Capital District,23.0,Office-North-01
SR-000620,2024-04-19T09:30:00,in_review,Western Highlands,46.9,Office-North-01
SR-000840,2024-04-12T13:00:00,closed,Eastport,16.7,Office-East-03
SR-000738,2024-04-03T15:43:00,closed,South Verdalia,16.7,Office-North-01
SR-000727,2024-04-17T02:01:00,resolved,South Verdalia,13.4,Office-East-03
SR-000608,2024-04-16T17:48:00,closed,South Verdalia,23.0,Office-West-04
SR-000674,2024-04-02T02:18:00,submitted,South Verdalia,48.0,Office-West-04
SR-000761,2024-04-16T02:02:00,closed,Eastport,8.9,Office-South-02
SR-000696,2024-04-12T02:16:00,resolved,South Verdalia,19.8,Office-West-04
SR-000735,2024-04-17T13:36:00,in_review,North Verdalia,8.7,Office-South-02
SR-000839,2024-04-18T06:56:00,resolved,Eastport,4.6,Office-East-03
SR-000647,2024-04-06T11:41:00,closed,Eastport,12.7,Office-Capital-01
SR-000723,2024-04-10T11:40:00,in_review,Western Highlands,14.4,Office-South-02
SR-000768,2024-04-23T07:26:00,resolved,Capital District,15.0,Office-East-03
SR-000655,2024-04-05T03:28:00,resolved,North Verdalia,30.0,Office-West-04
SR-000639,2024-04-07T07:34:00,rejected,North Verdalia,22.1,Office-West-04
SR-000795,2024-04-17T00:53:00,submitted,Capital District,12.7,Office-Capital-01
SR-000831,2024-04-18T23:17:00,rejected,Eastport,24.4,Office-South-02
SR-000638,2024-04-10T08:23:00,closed,Western Highlands,13.2,Office-East-03
SR-000845,2024-04-14T19:07:00,in_review,Capital District,14.5,Office-West-04
SR-000828,2024-04-01T05:46:00,submitted,Capital District,57.8,Office-South-02
SR-000836,2024-04-12T11:01:00,resolved,North Verdalia,26.8,Office-East-03
SR-000789,2024-04-09T18:21:00,closed,Eastport,11.5,Office-Capital-01
SR-000721,2024-04-06T22:08:00,closed,Eastport,5.4,Office-South-02
SR-000724,2024-04-18T14:12:00,in_review,Western Highlands,23.0,Office-West-04
SR-000637,2024-04-07T04:55:00,resolved,South Verdalia,13.3,Office-South-02
SR-000800,2024-04-09T04:54:00,closed,Eastport,16.5,Office-South-02
SR-000767,2024-04-09T18:37:00,rejected,Capital District,14.6,Office-Capital-01
SR-000603,2024-04-06T19:59:00,submitted,North Verdalia,19.9,Office-Capital-01
SR-000823,2024-04-25T22:01:00,resolved,South Verdalia,18.7,Office-West-04
SR-000736,2024-04-10T17:58:00,resolved,Eastport,41.8,Office-West-04
SR-000665,2024-04-21T23:58:00,resolved,North Verdalia,33.7,Office-North-01
SR-000739,2024-04-17T06:46:00,in_review,North Verdalia,12.3,Office-West-04
SR-000648,2024-04-05T17:34:00,closed,North Verdalia,24.9,Office-West-04
SR-000629,2024-04-16T17:37:00,closed,Capital District,4.2,Office-North-01
SR-000801,2024-04-12T17:52:00,in_review,North Verdalia,75.5,Office-Capital-01
SR-000622,2024-04-23T06:28:00,submitted,Western Highlands,32.4,Office-Capital-01
SR-000774,2024-04-16T21:01:00,submitted,Eastport,9.3,Office-South-02
SR-000621,2024-04-19T07:50:00,resolved,North Verdalia,15.2,Office-North-01
SR-000632,2024-04-20T03:07:00,in_review,South Verdalia,21.9,Office-West-04
SR-000687,2024-04-05T17:12:00,submitted,Western Highlands,35.2,Office-North-01
SR-000664,2024-04-23T16:47:00,in_review,Eastport,24.6,Office-North-01
SR-000692,2024-04-24T17:18:00,rejected,Eastport,7.6,Office-East-03
SR-000821,2024-04-15T06:24:00,in_review,Western Highlands,24.9,Office-North-01
SR-000616,2024-04-20T18:54:00,in_review,Eastport,13.5,Office-East-03
SR-000708,2024-04-13T13:27:00,in_review,Western Highlands,23.3,Office-South-02
SR-000682,2024-04-12T08:34:00,in_review,South Verdalia,15.9,Office-North-01
SR-000726,2024-04-21T15:23:00,resolved,North Verdalia,10.0,Office-South-02
SR-000830,2024-04-22T14:03:00,closed,North Verdalia,4.3,Office-East-03
SR-000847,2024-04-21T16:00:00,closed,Western Highlands,39.0,Office-West-04
SR-000850,2024-04-13T07:56:00,closed,Capital District,27.2,Office-East-03
SR-000667,2024-04-25T12:56:00,rejected,North Verdalia,31.3,Office-East-03
SR-000755,2024-04-20T03:53:00,submitted,South Verdalia,7.4,Office-West-04
SR-000706,2024-04-03T08:56:00,submitted,Western Highlands,44.1,Office-East-03
SR-000771,2024-04-10T00:24:00,closed,South Verdalia,25.0,Office-East-03
SR-000045,2024-01-15T09:00:00,closed,Capital District,32.1,Office-East-03
SR-000672,2024-04-19T13:12:00,resolved,Capital District,14.9,Office-South-02
SR-000654,2024-04-13T17:53:00,resolved,Capital District,17.7,Office-North-01
SR-000782,2024-04-08T00:08:00,in_review,Eastport,4.0,Office-South-02
SR-000797,2024-04-11T01:29:00,resolved,South Verdalia,24.0,Office-North-01
SR-000652,2024-04-12T23:15:00,closed,Eastport,14.5,Office-West-04
SR-000610,2024-04-24T03:21:00,in_review,Western Highlands,14.4,Office-North-01
SR-000785,2024-04-24T15:03:00,resolved,South Verdalia,18.6,Office-Capital-01
SR-000088,2024-01-15T09:00:00,closed,North Verdalia,8.7,Office-North-01
SR-000703,2024-04-08T14:58:00,in_review,North Verdalia,18.9,Office-West-04
SR-000615,2024-04-21T07:36:00,resolved,Eastport,16.3,Office-Capital-01
SR-000619,2024-04-12T01:32:00,rejected,Capital District,15.3,Office-Capital-01
SR-000660,2024-04-19T18:10:00,in_review,South Verdalia,13.4,Office-Capital-01
SR-000699,2024-04-23T23:22:00,closed,Capital District,30.3,Office-East-03
SR-000694,2024-04-13T14:23:00,rejected,Capital District,23.9,Office-West-04
SR-000744,2024-04-13T22:07:00,in_review,North Verdalia,44.4,Office-South-02
SR-000662,2024-04-17T06:43:00,submitted,Western Highlands,15.3,Office-West-04
SR-000709,2024-04-15T03:30:00,closed,Capital District,29.8,Office-West-04
SR-000756,2024-04-17T00:49:00,resolved,Western Highlands,8.6,Office-South-02
SR-000716,2024-04-12T01:52:00,submitted,Western Highlands,15.1,Office-Capital-01
SR-000686,2024-04-12T22:38:00,resolved,Western Highlands,16.8,Office-West-04
SR-000649,2024-04-09T21:41:00,closed,Capital District,1.6,Office-Capital-01
SR-000792,2024-04-01T20:03:00,resolved,Western Highlands,39.6,Office-North-01
SR-000737,2024-04-08T02:09:00,rejected,Western Highlands,19.2,Office-East-03
SR-000734,2024-04-10T09:15:00,submitted,Western Highlands,24.7,Office-West-04
